Bug编号,repair_hours,comment_count,comment_chars,files_changed_count,loc_changed,Zr,Zc,Zw,Zf,Zl,D_raw,D_100,难度等级
FLINK-36461,798.1130555555555,4.0,168.0,4.0,179.0,0.06015179541716187,-0.39290028535996135,-0.39909015423043637,-0.16752190462137811,-0.12097193532889529,-0.11516459224685385,28.35297520386373,低
FLINK-38188,191.20416666666665,18.0,1934.0,3.0,77.0,-0.4945694473219758,1.5401285087624323,0.27585651921337395,-0.23532838982526924,-0.19025858631495787,-0.10360016153477067,29.158739171991506,低
FLINK-34948,114.17611111111111,24.0,1371.0,3.0,152.0,-0.5649739173929024,2.3685694205291727,0.06068382547109469,-0.23532838982526924,-0.13931251941344125,-0.0627932177254677,32.00200623714808,低
FLINK-36407,1015.4988888888889,5.0,908.0,1.0,1.0,0.25884478184107096,-0.2548268000655047,-0.11626991734005152,-0.3709413602330515,-0.24188393410849468,-0.06258968917866432,32.01618730438628,低
FLINK-37507,797.8611111111111,8.0,238.0,3.0,512.0,0.0599215154890176,0.15939365581786544,-0.3723368885786432,-0.23532838982526924,0.10522860171383842,-0.04037352427971229,33.56412214279183,低
FLINK-35912,197.63583333333332,18.0,2137.0,6.0,165.0,-0.4886908349115546,1.5401285087624323,0.3534409896035741,-0.031908934213595835,-0.13048186781717838,-0.033668897853996876,34.03127409588833,低
FLINK-36560,597.4802777777778,7.0,1901.0,7.0,169.0,-0.12322871829857927,0.02132017052340874,0.2632442654061001,0.0358975509902953,-0.1277647442490975,-0.03102536761627163,34.21546486733631,低
FLINK-35079,138.81055555555557,15.0,6168.0,3.0,79.0,-0.5424577705929629,1.1259080528790624,1.8940469016375492,-0.23532838982526924,-0.18890002453091742,-0.0021547139214788784,36.22705826633109,低
FLINK-36517,724.1730555555555,14.0,1449.0,2.0,128.0,-0.007430158709796014,0.9878345675846056,0.0904946071973785,-0.30313487502916037,-0.15561526082192656,0.005734846113700936,36.776771724693255,低
FLINK-36790,996.9869444444445,9.0,1256.0,2.0,58.0,0.2419246657977218,0.29746714111232214,0.016732031900291638,-0.30313487502916037,-0.20316492326334207,0.021931326373558706,37.905278655021455,低
FLINK-36247,1411.6475,3.0,77.0,1.0,1.0,0.6209288670935618,-0.5309737706544181,-0.4338693995777675,-0.3709413602330515,-0.24188393410849468,0.02286929963966905,37.97063293658668,低
FLINK-38478,619.2488888888889,6.0,360.0,11.0,683.0,-0.10333197394479653,-0.11675331477104796,-0.3257097684426608,0.30712349180585985,0.22138563424929628,0.02440962018956991,38.07795640363638,低
FLINK-35715,1026.5619444444444,3.0,1346.0,6.0,271.0,0.2689565334377647,-0.5309737706544181,0.051129087738311416,-0.031908934213595835,-0.05847809326303492,0.04284919754064102,39.36275350147136,低
FLINK-36408,1011.7025000000001,6.0,200.0,7.0,269.0,0.25537484162282675,-0.11675331477104796,-0.3868600899324738,0.0358975509902953,-0.05983665504707536,0.05178748566929105,39.985538201394824,低
FLINK-35527,12.314166666666667,5.0,199.0,30.0,172.0,-0.6580768286280548,-0.2548268000655047,-0.3872422794417851,1.5954467106797916,-0.12572690157303684,0.05256500303204145,40.03971254781064,中等
FLINK-35055,343.0197222222222,8.0,1118.0,19.0,227.0,-0.35580839902181116,0.15939365581786544,-0.03601012038467202,0.849575373436989,-0.08836645251192465,0.0691538694170534,41.19555939733713,中等
FLINK-37774,386.3075,10.0,5804.0,7.0,56.0,-0.31624290521553955,0.4355406264067788,1.7549299202482247,0.0358975509902953,-0.20452348504738252,0.07084575756975098,41.31344349777292,中等
FLINK-37191,504.7702777777778,12.0,5893.0,3.0,23.0,-0.20796665401822037,0.7116875969956923,1.788944786576933,-0.23532838982526924,-0.22693975448404982,0.0740035161210496,41.533463672049656,中等
FLINK-36285,1438.7941666666666,2.0,57.0,4.0,56.0,0.645741211986265,-0.6690472559488748,-0.44151318976399406,-0.16752190462137811,-0.20452348504738252,0.07468144131076723,41.58069882824199,中等
FLINK-37371,796.0127777777777,6.0,2189.0,8.0,399.0,0.058232118970966994,-0.11675331477104796,0.37331484408776333,0.10370403619418643,0.02846986091555341,0.07914548870593796,41.89173606237795,中等
FLINK-36474,633.3302777777778,9.0,535.0,13.0,447.0,-0.09046143326407238,0.29746714111232214,-0.25882660431317794,0.4427364622136421,0.06107534373252403,0.08752489748757458,42.475580251387754,中等
FLINK-36114,33.83916666666667,12.0,1352.0,22.0,956.0,-0.6384027474462485,0.7116875969956923,0.0534222247941794,1.0529948290486624,0.4068293177708167,0.14542298812827587,46.50969108858861,中等
FLINK-35281,1535.5325,6.0,384.0,2.0,81.0,0.7341610876374915,-0.11675331477104796,-0.3165372202191889,-0.30313487502916037,-0.18754146274687697,0.14642044338665128,46.57918984101564,中等
FLINK-36558,1469.0869444444443,3.0,313.0,5.0,262.0,0.6734291362242404,-0.5309737706544181,-0.3436726753802934,-0.09971541941748698,-0.06459162129121691,0.14728941183817074,46.639736138979316,中等
FLINK-37905,1535.2488888888888,2.0,102.0,5.0,304.0,0.7339018640359091,-0.6690472559488748,-0.4243146618449842,-0.09971541941748698,-0.03606182382636762,0.15388642540665085,47.099390052178634,中等
FLINK-34690,646.8302777777778,26.0,2155.0,2.0,61.0,-0.07812228827199866,2.644716391118086,0.3603204007711781,-0.30313487502916037,-0.2011270805872814,0.1633019830347447,47.75542901038015,中等
FLINK-36375,1108.9452777777778,12.0,1194.0,6.0,136.0,0.3442557849140863,0.7116875969956923,-0.006963717677010877,-0.031908934213595835,-0.1501810136857648,0.17767031629123897,48.756557860418425,中等
FLINK-35149,1134.4305555555557,15.0,1915.0,3.0,106.0,0.3675496025187733,1.1259080528790624,0.26859491853645867,-0.23532838982526924,-0.17055944044637145,0.20205412462578837,50.45552555289504,中等
FLINK-37835,1970.045,1.0,5.0,2.0,59.0,1.1313101793684865,-0.8071207412433314,-0.4613870442481833,-0.30313487502916037,-0.20248564237132186,0.2195167280852548,51.67225095924295,中等
FLINK-36105,1900.095,2.0,18.0,3.0,50.0,1.0673751280947417,-0.6690472559488748,-0.456418580627136,-0.23532838982526924,-0.20859917039950385,0.22428149456405277,52.00424111429199,中等
FLINK-36858,915.9216666666666,12.0,944.0,11.0,651.0,0.16783013125529717,0.7116875969956923,-0.1025110950048436,0.30712349180585985,0.19964864570464919,0.2347778725083661,52.73558737369254,中等
FLINK-34634,810.7627777777777,14.0,1825.0,15.0,246.0,0.07171377738823272,0.9878345675846056,0.2341978626984389,0.5783494326214244,-0.07546011556354046,0.2841570948044226,56.176137029004266,中等
FLINK-34969,572.6022222222223,18.0,5982.0,7.0,506.0,-0.1459675282704952,1.5401285087624323,1.8229596529056415,0.0358975509902953,0.1011529163617171,0.3020691300604407,57.424177072173336,中等
FLINK-36964,434.3922222222222,20.0,3405.0,15.0,880.0,-0.27229295266712555,1.8162754793513458,0.8380572874103417,0.5783494326214244,0.35520396997727993,0.3543840492612666,61.06927452115517,高
FLINK-34908,1848.986388888889,13.0,1075.0,2.0,41.0,1.0206613086248522,0.8497610822901489,-0.05244426928505925,-0.30313487502916037,-0.21471269842768584,0.38000558122900696,62.854481919757866,高
FLINK-35464,232.4908333333333,8.0,1138.0,32.0,1806.0,-0.4568329905635005,0.15939365581786544,-0.028366330198445408,1.7310596810875738,0.9842180759880048,0.410767168006636,64.99782808568291,高
FLINK-35524,1487.9275,14.0,1160.0,14.0,84.0,0.6906496063524791,0.9878345675846056,-0.019958160993596128,0.5105429474175333,-0.1855036200708163,0.4728576770438534,69.32405011861252,高
FLINK-35415,366.37194444444447,15.0,1269.0,21.0,2785.0,-0.33446421710424623,1.1259080528790624,0.021700495521338937,0.9851883438447712,1.6492340692758016,0.47465736435090466,69.4494452393947,高
FLINK-35234,2477.6936111111113,9.0,548.0,1.0,41.0,1.5953064621481048,0.29746714111232214,-0.25385814069213064,-0.3709413602330515,-0.21471269842768584,0.5175412400788454,72.43742473752422,高
FLINK-36282,2996.9241666666667,3.0,121.0,2.0,24.0,2.069888766541808,-0.5309737706544181,-0.4170530611680689,-0.30313487502916037,-0.22626047359202958,0.62343003363838,79.81533867060224,高
FLINK-36636,1805.5227777777777,23.0,2260.0,6.0,360.0,0.9809351012634366,2.2304959352347162,0.4004502992488678,-0.031908934213595835,0.001977906126764778,0.647788116319349,81.51251390089655,极高
FLINK-35056,3251.8044444444445,2.0,114.0,3.0,56.0,2.3028520778840313,-0.6690472559488748,-0.4197283877332482,-0.23532838982526924,-0.20452348504738252,0.7227526465719756,86.73574700843533,极高
FLINK-36741,1384.5444444444445,16.0,1550.0,25.0,1021.0,0.596156383224804,1.263981538173519,0.12909574763782292,1.256414284660336,0.45098257575213113,0.7595212393989594,89.29763768825836,极高
FLINK-35743,843.2727777777777,34.0,9391.0,11.0,903.0,0.10142826655062653,3.74930427347374,3.1258436901479687,0.30712349180585985,0.370827430493745,0.8604910905079483,96.33281909202972,极高
FLINK-36701,1366.2858333333334,23.0,5189.0,18.0,974.0,0.5794678165689605,2.2304959352347162,1.519883372021756,0.7817688882330978,0.4190563738271807,0.865125735485583,96.65574289355679,极高
FLINK-36793,3533.46,4.0,425.0,4.0,172.0,2.560288280685741,-0.39290028535996135,-0.30086745033742435,-0.16752190462137811,-0.12572690157303684,0.8939990273132579,98.66752010725655,极高
FLINK-36999,3171.744444444444,6.0,4982.0,2.0,10.0,2.229676378027333,-0.11675331477104796,1.4407701435943105,-0.30313487502916037,-0.2357704060803127,0.9131229544239226,100.0,极高
